seller,quantity_sold,seller_sales
"Friendly Finance Corp",23,123500
"Semo Motor Co",7,123500
"Smart Auto",10,123450
"Ramsey Volvo",27,123400
"Flowers Nissan",5,123300
"Love Field Chrysler Dodge Jeep Ram",14,123300
"Howard Orloff Imports Inc",8,123300
"Dch Honda Of Nanuet",39,123100
"Browns Fairfax Mazda",35,123050
"Capitol Chevrolet Buick Gmc",7,123000
"Nissan Of Fort Worth",8,122800
"Bank Of Hawaii Auto Leasing Department",6,122750
"B & J Wholesale Inc",6,122700
"Morrissey Motor Company",4,122600
"Flag/Left Lane Exotics Llc",2,122600
"Telhio Credit Union",5,122600
"Healey Ford Lincoln Mercury Llc",15,122460
"Central Pacific Bank",10,122200
"Remarketing By Ge/First Florida Credit Union",11,122050
"West Hills Chrysler Jeep",12,122000
"Surf City Nissan",21,121950
"Byers Ford Llc",10,121950
"Union Auto Credit",14,121700
"Stevinson Imports Inc",2,121700
"Remarketing By Ge/Mission Fcu",12,121600
"Autonation Chevrolet Timonium",36,121600
"Elite Motors",14,121550
"Medlin Hyundai",11,121500
"Capital Auto Auction",121,121475
"Volkswagen Of Corpus Christi",7,121400
"Beechmont Audi Inc",6,121400
"Fiserv/Pelican Resource Group",29,121200
"Criswell Isuzu Trucks",19,121100
"Sheehan Buick Gmc Inc",31,121100
"Victory Mitsubishi",17,121025
"Gettel Hyundai",19,120850
"Classic Auto Brokers Inc",8,120800
"Cnc Motors Inc",3,120800
"Harry Browns Family Automotive",22,120750
"Classic Ford",9,120550
"Autonation Chevrolet Delray",37,120500
"Crown Chrysler Dodge Jeep Ram",4,120400
"Crown Nissan",15,120300
"Dayton Andrews Inc",4,120300
"Larry H Miller Toyota Corona",15,120150
"H&h Chevrolet Llc",6,120100
"Onemain Rem/True Credit Auto Wholesale",5,120050
"Autonation Nissan Miami",42,120050
"Glesby Marks Corporation",11,120000
"Budget Sales & Leasing",15,120000
"Century Buick Gmc",5,120000
"Lance Cunningham Ford",9,119900
Autoyes,7,119900
"Roth Cadillac",5,119900
"Phh Management Services",10,119800
"D Cars Corp",10,119700
"Plaza Auto Center Inc",5,119600
"Classic Lexus",5,119550
"Lexus Of San Diego",4,119500
"Remarketing By Ge/Manheim New England",12,119450
"Jaguar Landrover Hilton Head",2,119400
"Kuni Lexus Of Greenwood Village",5,119300
"Phil Moore Buick Gmc",7,119300
"Bergeys Ford Inc",21,119300
"Carey Paul Honda",20,119000
"Exotic Motors Corporation",1,119000
"Honda Of Superstition Springs",7,118950
"Jacobs Motors",11,118900
"M And M Auto Sales",12,118800
"On Trac Auto Sales",9,118800
"Beasley Ford Lincoln",5,118800
"Atlanta Postal Credit Union",16,118800
"Bravo Chevrolet Cadillac",6,118700
"Piazza Honda Of Pottstown",7,118650
"South Shore Bmw",10,118650
"Elite Car Sales West Inc",8,118450
"Autonation Chevrolet Fort Lauderdale",31,118425
"Volkswagen Of America",4,118400
"Five Star Toyota Of Milledgeville",35,118300
"Lexus Of Serramonte",8,118250
"Adventure Chrysler Jeep",9,118200
"College Park Motor Cars Inc",45,118200
"Performance Lexus",8,118100
"Nico Buys Cars",22,118100
"Larson Chrysler Jeep Dodge",12,118050
"Goodman Chevroletcadnissan Inc",4,118000
"International Credit Inc",15,117900
"Walser Nissan",8,117700
"Ron Lewis Ford",6,117600
"Mei Finance",54,117550
"Lake Park Mitsubishi",6,117500
"Northtown Lexus",5,117500
"Paramount Hyundai Of Hickory",11,117450
"Lake Gm Auto Center",4,117400
"Gateway Ford Lincoln Mazda Inc",5,117400
"Co Car Toyota Motor Sales",5,117300
"Ferman Bmw",6,117300
"Nationwide Motor Vehicles",26,117250
"Enterprise Vehicle Exchange Inc. Dallas",5,117200
"Cure Inc",32,117150
"Hawaii Usa Fcu",13,117100
"Northstar Ford",10,117000
"Zimbrick Of Middleton",10,117000
"Budget Rent A Car/San Antonio",7,116900
"Smith Haven Mazda",14,116900
"Fields Cadillac",6,116700
"Jim Sloan Ford Inc.",6,116600
"Lexus Of Southampton",6,116550
"Budget Rent A Car/East Point",6,116500
"Buddys Auto Sales Llc",6,116500
"Fred Martin Nissan",10,116500
"Select Automotive Llc",7,116500
"Exclusive Motors",9,116500
"Floorplan Xpress",14,116500
"Mph Import & Export Inc",3,116400
"Scerbo Auto Leasing Inc",7,116300
"Honda Of Marysville",18,116200
"Napletons Auto Werks Inc",11,116000
"Ted Britt Ford Lincoln",3,115900
"Classic Audi",8,115750
"Toms Truck Center Inc",7,115750
"Joe Machens Chrysler Dodge Jeep Ram",5,115600
"Faulkner Subaru",24,115550
"Browns Alexandria Mazda",30,115500
"Primeritus Remarketing/American Airlines",20,115400
"Coon Rapids Chrysler Jeep Dodge Ram",17,115400
"Enterprise Car Sales/Tulsa",11,115200
"Kolosso Chrysler Jeep Dodge",5,115050
"Go Right Auto Group",1,115000
"Hbl Llc",3,115000
"Allstate Remarketing Service Inc",9,114900
"Barreth Chrysler Center Inc",6,114900
"Drexel Hill Nissan Llc",9,114850
Automart,11,114850
"Mv Motorsports",10,114800
"Richmond Bmw Crown Mini Of Richmond",13,114800
"Ars/Budget Rent A Car/Atlanta",5,114600
"Wantcar Inc",6,114600
"U Save Auto Rental",10,114600
"Gurley Leep Hyundai Subaru Saab Car City",7,114600
"Fred Anderson Nissan Of Raleigh",22,114550
"North Central Ford",13,114450
"Adventure Rv & Auto Sales Inc",9,114400
"Byers Imports Llc",7,114300
"Jaguar Landover Of West Columbia",19,114250
"Bmw Of San Diego",5,114250
"Stanley Ford Mercury - Eastland",5,114200
"Beaver Toyota Of St Augustine",29,114100
"Napleton's Volkswagen Of Sanford",11,114100
"Pegues Hurst Motor Company",5,114100
"King Automotive Llc",6,114000
"Street Smart Auto Brokers",5,114000
"Dream Jeep",4,113800
"Palm Beach Auto Group",5,113800
"Peddle Llc",58,113750
"Riverchase Used Car Center Inc",8,113700
"Car Drop",12,113700
"Stevens Creek Bmw",7,113650
"B A Motor Co Ltd",14,113550
"Auto Finance Solutions",23,113400
"Spradley Barr Ford Inc.",6,113300
"Pricedrite Auto Sales Inc",7,113300
"Northwest Bmw",22,113250
"Educators Credit Union",15,113200
"Cherokee Ford Lincoln Mercury Of Alpharetta Llc",6,113200
"Southwest Kia Nw",3,113150
"Crown Hyundai",12,113100
"New City Funding",63,113075
"Darcars Toyota Of Baltimore",44,113000
"Volkswagen Of Kirkland",8,112900
"Asi Fcu",17,112900
"Onesource/Ralph Hayes Toyota",6,112600
"Charlie Cheap Car",7,112500
"United Inventory Control Inc",10,112500
"Clermont Nissan",20,112400
"Jackson Lease Inc",5,112400
"Auto Centers Nissan Inc",11,112350
"Mckenna Porsche",3,112250
"Hyundai Of Gadsden",8,112200
"Wright Automotive Inc",7,112200
"Big Two Toyota Scion Of Chandler",9,112200
"Bill Luke Fiat",15,111950
"Stykemain Pontiac Buick Gmc Ltd",8,111900
"Nissan Dealer Blend/Demaagd Nissan",5,111800
"Baxter Volkswagen",15,111700
"Fiat Of Strongsville",5,111500
"Rhinelander Chrysler Dodge Jeep Ram",4,111500
"Car Authority Inc",10,111450
"Enterprise Vehicle Exchange/Hapeville",8,111400
"Bergstrom Infiniti Of The Fox Valley",4,111400
"Cheltenham Motors Inc",11,111400
"Auto Connect",10,111400
"Ken Stillwell Ford Merc Inc",6,111400
"Paul Miller Inc",4,111350
Goyetteauto.com,5,111350
"Spallco Enterprises Inc/Gdp",6,111300
"First Flight Federal Credit Union",14,111300
"Alse Auto",4,111250
"Auto Elite Group Inc",2,111200
"Toyota Of Somerset",5,111200
"The Bank Of Southside Virginia",8,111100
"Floorplan Xpress Llc",16,111100
"Brand Automotive Financial Services",7,111100
"Evergreen Kia",8,111000
800cash247,18,110950
"Autonation Toyota Gulf Freeway",18,110800
"Park Chrysler Jeep",10,110800
"Zeibak Auto Trading",3,110750
"Mc Grath Imports Inc",3,110700
"Prestige Usa Sport Cars Inc.",4,110650
"Collateral Services",11,110500
"Hendrick Honda Daytona",10,110500
"Consumer Credit Union",19,110475
Dtag,10,110400
"Stoudt Auto Sales Inc",3,110250
"Palmiero Toyota",8,110200
"Mcdonald Independent Pre Owned Subaru Jeep",4,110200
"Camino Real Chevrolet",9,110050
"Moore Automotive Group",13,110000
"Cnh Capital",2,110000
"Laurel Bmw Of Westmont",9,110000
"Kull Auto Sales Inc",15,109850
"Primeritus Remarketing/Gateway Affordable Motors",28,109800
"More Automotive Products Inc",11,109800
"Overland Park Mazda",8,109700
"Maxwell Chrysler Jeep Dodge",6,109700
"Larry H Miller Chrysler Jeep Dodge Ram Sandy",7,109700
"Remarketing By Ge/Mccoy Leasing & Finance Inc",11,109400
"Dch Freehold Nissan",29,109300
"Subaru Of Las Vegas",4,109250
"Remarketing By Ge/Arnie Yusim Leasing",7,109200
"Autonation Ford Miami",46,109150
"Downtown Motors Inc",8,108850
"Pacific Auto Trade Inc",3,108750
"Bergstrom Neenah Gm",3,108750
"Manheim Georgia",13,108700
"City Auto",9,108600
"Coast Acceptance Corp",36,108600
"Faulkner Auto Sales",7,108600
"Roswell Auto Brokers Inc",12,108600
"Tri County Chrysler Dodge Jeep Ram",4,108550
"Fairfield Chevrolet Cadillac",5,108400
"Falcon Autohaus Inc",5,108250
Hgreg.com,6,108200
"Michael's Motor Co.",7,108150
"Manheim Fort Lauderdale",7,108000
"Texas Auto",13,107950
"Afg/Champion Cu",15,107900
"Twin City Auto Sales Inc",7,107800
"Bmw Of Nashville",10,107800
"Automotive Dynamics",6,107750
"Manheim Tampa",10,107500
"Moshina Motors Inc",14,107450
"Dewey Dodge Jeep",8,107400
"Onemain Rem/Master Car Center",10,107300
"Action Nissan",5,107200
"Bryans Cars.com",1,107000
"Dixie Buick Gmc Truck Inc",4,107000
"South Coast Subaru",22,106950
"Fairfield Chrysler Jeep Dodge",4,106850
"Ron Schmidts Used Cars",11,106850
"Mears Motor Leasing",5,106800
"Hutch Chrysler Dodge Jeep Ram",6,106800
"Elite Auto Wholesale",10,106800
"Markquart Motors",7,106750
"Imperial Auto Sales Inc",9,106650
"Remarketing By Ge/Manheim San Diego",13,106600
"Cabe Toyota",27,106550
"International Toyota Subaru",6,106550
"Interstate Motors",7,106500
"Onemain Rem/International Auto Sales",23,106100
"Best Way Autos",6,106100
"Myrtle Beach Chry Jeep Inc",6,106100
"Dch Montclair Acura",20,106025
"Cac Motors",1,106000
"Huffines Chrysler Jeep Dodge",6,106000
"Remarketing By Ge/Betal Autoplex Ltd",7,106000
"Autonation Nissan Orange Park",34,105650
"Remarketing By Ge/Cable-dahmer Of Kansas City",6,105600
"Flag/Jaguar Of Tampa",4,105600
"Dorazio Ford Inc",5,105500
"Repo Remarketing/Sce Federal Credit Union",7,105500
"Gsa Sales Inc",4,105450
"Auto House Llc",14,105400
"Jba Chevrolet",7,105350
"Spooner Sales Inc",4,105300
"Ed Bresnahan A/S Dba Thrifty Rac",10,105250
"Virginia Select Auto",26,105100
"A+ Autobrokers Inc",7,105000
"Crown Honda Of Southpoint",15,104900
"Susquehanna Chrysler Dodge Jeep Ram",4,104700
"North Penn Imports Inc",12,104600
"Southwest National Bank",15,104500
"Bmw Northwest",5,104300
"Stephen Wade Auto Center",9,104250
"H J Auto Group Inc",2,104200
"Platinum Auto Group Inc",10,104100
"Don Jacobs Imports Inc",5,104100
"Gary Smith Ford Inc",6,104100
"Clay Nissan Of Newton Inc.",42,104025
"Onemain Rem/Freedom Inc Dba Freedom Auto Group",16,104000
"State Superior Fin",12,104000
"Lakeland Chrysler Dodge Jeep",6,103900
"Automotive Holding Co Ltd",7,103900
"Dch Millburn Audi",5,103900
"Hardy Automotive Llc",10,103900
"Auto X-change Inc",3,103800
"Manheim Palm Beach",13,103600
"Remarketing By Ge/Cardinal Community Cu Inc.",16,103500
"Fred Anderson Kia",18,103500
"Bachman Auto Group Inc.",5,103500
"Stanley Ford-mcgregor",6,103200
"Mark One Financial",32,103150
"Gosch Hyundai",24,103050
"Credit Union 1",11,102800
"Northwest Fleet Lease Inc",6,102800
"Nissan Dealer Blend/Holman Infiniti",3,102700
"Win Hyundai Carson",15,102600
"Ltd Ford Lincoln",6,102600
"Brown's Volkswagen Suzuki",24,102550
"Mercedes Benz Of Palm Springs",4,102500
"Conway Chry Dodge Jeep Inc",12,102400
"Beshoff Motorcars",6,102300
"Hallmark Cards Inc",10,102200
"Brookside Motors Inc",6,102100
"Freeway Investments",4,102100
"Big Joes Auto Sales",7,102050
"Jackson Family Of Dealerships",6,102000
"Murray Ford Mercury Inc",3,101700
"Nissan Dealer Blend/Mcgrath Nissan",7,101700
"Atlantic Coast Remarketing Inc/Jam",11,101700
"K D Kelley Auto Sales",8,101600
"Price Ford",4,101550
"Ws Healey Chevrolet Buick Inc",6,101500
"Onesource/Toyota Of Melbourne",3,101500
"Dondelinger Chev Cad Inc",6,101450
"Porter Ford",4,101300
"Autonation Nissan Delray",29,101200
"Stateline Chrysler Jeep Dodge Inc",5,101200
"Dch Kia Of Temecula",7,101050
"Auto/Magic Car Sales",7,100900
"Olathe Dodge Chrysler Jeep",4,100900
"Mercedes Benz Of Southampton",5,100700
"Advantage Rent A Car/Hertz",9,100700
"Repo Remarketing/Arizona Central Credit Union",6,100700
"Augusta Motor Group Inc.",6,100700
"Crown Jaguar",5,100600
"Nedals Inc",15,100600
"Boardwalk Honda",38,100500
"Bellmobile Inc",6,100500
"Hrm Auto Sales Inc",7,100400
"Wranglers Unlimited Llc",4,100400
"J & M Auto Sales",9,100200
Globul,8,100050
"Onesource/Toyota Mall Of Georgia",7,100000
"Advantage Ford Of Stuart Inc",16,100000
"Premier Motors-leasing Inc.",5,100000
"Performance Toyota-scion Of Lavista",28,99875
"Larry H Miller Chrysler Jeep Avondale",10,99800
"Walker's Renton Subaru",5,99800
"Van Devere Inc",5,99700
"Onesource/Earl Stewart Toyota",6,99550
"Advanced Fleet Services",9,99550
"High Line Auto Inc",12,99450
"Delacom Inc",5,99300
"Atlantic Coast Remarketing Inc/Kdi",12,99300
"Metro Kia Of Raynham",34,99250
"Barter Holdings Inc.",6,99200
"Car Connection Inc",12,99150
"Hertz Car Rental",6,99100
"Phil Long Ford Of Denver Llc",5,98900
"Lexus Of South Atlanta",11,98900
"Hendrick Nissan Kansas City",15,98750
"Fleet Services Inc",22,98600
"Rudolph Mazda",5,98600
"Mercedes Benz Of Fresno",4,98600
"Nissan North America - Pickup Request",7,98600
"Remarketing By Ge/People Driven Credit Union",15,98525
"Topspeed Motor Group",2,98500
"The Key Finance",10,98400
"Autonation Ford Arlington",6,98250
"Renew Wholesale Auto Sales Inc",7,98200
"Bob Parker & Son Auto Sales Inc",7,98200
"Rogers & Rogers Nissan",3,98200
"Lynn Hines Used Cars",6,98100
"Lafontaine Ford Of Lansing",11,97900
"Frontline Auto Remarketing Llc",21,97900
"Gentry Chevrolet Inc.",7,97850
"Morse Chevrolet Inc",12,97800
"Primeritus Remarketing/Bank Of Hawaii",5,97800
"Martin Swanty Hyundai",4,97750
"Arizona Central Credit Union",8,97400
"Darrell Waltrip Honda",10,97400
"United Bmw",5,97400
"Moss Bros Cjd Riverside",4,97350
"Master Lease Plan",6,97300
"Ramsey Ford Inc",5,97300
"Auto City",7,97300
"John Jones Chevrolet Buick Cadillac Of Salem Inc",4,97300
"Dowling Toyota Of Litchfield",5,97200
"Onemain Rem/City Select Motors",8,97200
"Jensen Incorporated",5,97150
"Nice Car Outlet",6,97100
"Bmw Of Houston North",8,97100
"Steve Link Ford Lincoln Mercury Inc",4,97050
"Brown's Manassas Kia",20,97050
"E Motor Cars",5,97000
"Intermountain Auto Sales",6,96850
"Tuttle Clicks Tustin Chrysler Jeep Dodge",18,96800
"Westchester Toyota",4,96700
"Desert Toyota",6,96600
"Infinity Auto Sales Llc",9,96600
"Grossinger Honda",7,96600
"Lease Plan/Wal-mart Stores",17,96400
"Fairfield Honda",6,96350
"Curry Auto Center Inc",6,96300
"National Credit Union Administration/Asset Mgmt",9,96300
"Cannco Motor Sales Llc",4,96300
"Triangle Chevrolet Buick Inc",11,96200
"Imports By Day Inc",7,96100
"Best Car Buys Iii",5,96100
"Workman Motor Company Inc",9,96100
"Wells Auto Group",7,96000
"Viva Chevrolet",6,96000
"Worldwide Auto Sales And Service Llc",8,95900
"Pat Obrien Chevrolet Buick Norwalk",24,95900
"Lucas Dodge Inc",14,95800
"Premiere Chevrolet Inc",5,95800
"Peoria Ford",8,95800
"Lakeland Toyota/Lakeland Scion",8,95700
"Toyota Volvo Jaguar Of Warren",7,95700
"Bmw Mini Portland",8,95600
"Showcase Wholesale Auto Llc",5,95600
"Bud's Auto Sales",9,95400
"Kentucky Telco Credit Union",8,95350
"Newport Auto Group Inc",2,95250
"Wesley Chapel Honda",8,95250
"Audi Volkswagen Of Naples",4,95200
"Auto One Acceptance Llc",25,95200
"Federal Asset Remarketing Services",11,95200
"Bob Frensley Chrysler Plymouth Inc",7,95200
"Primeritus Remarketing/Yem",11,95200
"Mid Atlantic Finance /Clearwater",48,95100
"Hinshaws Acura",4,95100
"Area 51 Truck & Auto Sales Llc",5,95100
"M & L Motor Co Inc",7,95100
"Transitowne Dodge Chrysler Jeep Of Williamsville",7,95100
"Primeritus Remarketing/Midwest Auto Mart Llc",15,95000
"Auto Junction Inc",2,95000
"Victory Auto Sales Inc",7,95000
"Prestine Auto Group",5,94900
"Gardelli Motors",5,94800
"Fast Cars",1,94750
"Ed Napleton Westmont Imports Inc",4,94750
"Mesa Leasing Company",4,94550
"Mcgee's Used Cars",3,94400
"Autonation Chevrolet Northpoint",16,94350
"Platte City Airport Chrysler Dodge Jeep Ram",4,94300
"Allegacy Fcu",8,94300
"Onesource/Team Nissan Of Lithia Springs",6,94300
"Corporate America Family Credit Union",13,94200
"Napletons Tallahassee Imports Llc",6,94200
"South County Auto Center",6,94200
Automax,10,94100
"Infiniti Of Coconut Creek",5,94000
"Caldwell Leasing",9,94000
"Centennial Mazda",5,93900
"Heritage Cars Inc",4,93800
"Chrysler / Dodge / Jeep / Ram Of Gadsden",6,93800
"Mcgrath City Hyundai Inc",8,93800
"1st Mid America Credit Union",10,93700
"Napletons Goldcoast Imports Inc",5,93500
"Nissan Dealer Blend/West Houston Infiniti Ltd",3,93400
"Thornhill Acura",5,93400
"Melody Toyota",15,93150
"Dean Mccrary Kia",5,93100
"Remarketing By Ge/Vermont State Emp Credit Union",13,92950
"Belcastro Auto Sales & Leasing",3,92850
"All-trade Auto X Change Inc",4,92750
"Toth Buick Pontiac Gmc Truck Inc",6,92700
"Fleetway Leasing Company",9,92700
"Cash Money Cars Llc",11,92500
"888 Motors",6,92500
"Fred Anderson Toyota Of Columbia",5,92400
"Flag/Park Place Maserati",2,92250
"Land Rover/ Jaguar/ Aston Martin",4,92250
"Woodys Dodge Jeep Chrysler",4,92200
"Schumacher Chevrolet",15,92200
"Cherry Hill Nissan Inc",5,92200
"Certified Auto Center Inc",5,92100
"Columbus Nissan Inc",5,92100
"A & A Auto And Truck Center Inc",5,92100
"Honda Marysville",14,92075
"Dean Team Ballwin",7,92050
"Porsche Of Hilton Head",1,92000
"Remarketing By Ge/Deseret First Credit Union",20,91900
"Dealers Auto Select",4,91750
"Riverside Car Store Inc",11,91700
"Onemain Rem/Intigue Motors",11,91700
"Manheim Ohio",13,91550
"Crown Dodge Of Fayetteville",19,91450
"Shore Toyota & Shore Scion",6,91400
"Sam Leman Chry Jeep Dodge Of Morton",2,91400
"Golden West Motors",11,91350
"Five Star Hyundai Of Warner Robins",27,91300
"Capitol Hyundai",12,91250
"Jim Falk Lexus Of Beverly Hills",2,91250
"Northbrook Toyota",9,91200
"Willett Honda South",5,91100
"Premier Auto Consulting Llc",2,91050
"Fields Chrysler Jeep Dodge Ram",5,91000
"Auto Network Group Inc",1,91000
"Jack Sherman Toyota Scion",4,91000
"Hendrick Alfa Romeo Fiat Of Concord",10,91000
"Peterson Autoplex",3,90950
"Car Cash Of New Jersey Llc",17,90850
"Lilliston Ford Inc",8,90850
"Norris Ford",7,90750
"Gunn Buick Gmc Ltd",8,90700
"Lease Plan/Napleton Auto Werks",8,90700
"Ayers Chevrolet Inc",5,90700
"South Coast Acura",16,90650
"Rairdon's Dodge Chrysler Jeep Of Kirkland",8,90650
"Sullivan Buick Gmc Inc",5,90550
"Hansen Lease & Rental Inc",8,90500
"David Wilsons Ford Of Orange",18,90350
"Auto World Inc",5,90200
"Aubrey Alexander Toyota",4,90200
"Dtag Dollar Thrifty Auto Group/Gm",8,90100
"Alexander R Antkowiak Auto Sales",13,90050
"Sun Motor Cars Inc",4,89950
"Mac Haik's Southway Ford",3,89900
"Mcgrath Lexus Of Chicago",4,89850
"Toyota Walnut Creek",17,89800
"Chevrolet 21 Inc",21,89650
"Metro Kia",30,89650
"Curry Honda",4,89600
"Foust Fleet Leasing",4,89600
"Karl Malone Chrysler Dodge Jeep Ram",3,89550
"Leaders Financial Co",31,89450
"1st National Bank Of Scotia",8,89400
"Autonation Direct",10,89400
"Auto & Truck Village Inc",2,89250
"Statewide Leasing Corp",1,89200
"United Auto Credit/Atlanta",33,89150
"Crossroads Ford Lincoln Mercury Mazda",33,89000
"Auto City Motors Inc",1,89000
"Manheim North Carolina",8,88950
"Manheim Baltimore-washington",18,88950
"Darcars Of Rockville Inc",24,88900
"Stevens Creek Hyundai",8,88850
"Rudolph Honda",7,88850
"Jake Group",3,88750
"Preston Of Sharon",6,88600
"Grant Motors Corp",6,88500
"S W Corporation",7,88500
"Al Piemonte Ford Sales Inc",4,88500
"Route 6 Auto Mall Kia",21,88450
"Harbor Chevrolet",5,88400
"Lejeune Honda Cars",14,88400
"Big Country Chevrolet Inc",6,88350
"Capitol Chevrolet",6,88300
"Five Star Florence Llc",8,88300
"Sixrentals Corp",13,88300
"Larry H Miller Toyota Scion Boulder",10,88300
"Pohanka Nissan Hyundai",11,88150
"Valenti Motors Inc",4,88125
"Cumberland Toyota",6,88100
"Auto Ranch Llc",1,88100
"Miracle Chrysler-dodge-jeep Inc.",5,88000
"Hg Motor Company Llc",7,88000
"Toyota Volvo Of Keene",5,87900
"Double E Motors",6,87850
"Professional Financial Services/Louisville",15,87800
"U Haul",5,87800
"Proctor Subaru",5,87700
"Crossroads Ford Lincoln Of Shelby",21,87700
"Honda Motorwerks",6,87700
"Toyota/Scion Of Gastonia",5,87700
"Gateway Kia",9,87700
"Upper Marlboro Ford Llc",4,87700
"Precision Acura Of Princeton",2,87600
"Chapman Chevrolet Llc",5,87550
"Luxury Auto Group Llc",1,87500
"Healey Chrysler Dodge Jeep Llc",9,87450
"Sterimark Motors Inc",5,87400
"Audi Minneapolis",10,87400
"Primeritus Remarketing/Aras",23,87300
"Community Cu Of Florida",5,87200
"Leto Auto Exchange",5,87200
"Low Gos Used Cars",21,87100
"Motor Galaxy Inc",4,87100
"Morries 394 Hyundai",11,87100
"Bergstrom Acura",5,86900
"Lithia Volkswagen Of Des Moines Audi Des Moines",4,86900
"Ace Auto Wholesale Inc",5,86800
"Arc Financial",19,86750
"Baierl Ford",5,86700
"Just Right Auto Deals",16,86650
"Walser Honda",7,86600
"Acura Of Omaha",4,86500
"The Mint Leasing Inc",13,86500
"Auto Marques Inc",4,86300
"Arms Across America",9,86300
"Autonation Toyota Scion Leesburg",26,86200
"Chapman Honda",6,86100
"Kia Motors America Inc - Lemon Law",7,86000
"Albert & Jack Inc",14,85950
"Urban Motorcars Lp",7,85950
"Dublin Toyota",5,85950
"Remarketing By Ge/Linn Co Federal Credit Union",14,85900
"Delaware Cadillac Olds Saab",7,85900
"Frank Kent Honda",7,85850
"Corporate Cars Inc",5,85800
"Off Lease Vehicle Llc",3,85750
"Centennial Buick Gmc",3,85750
"Carex Inc",8,85700
"C L Hyman Auto Wholesale Of Virginia Inc",7,85600
"Sunbelt Chrysler Jeep Dodge Inc",5,85550
"Western American Loan",16,85500
"Boast Volkswagen",14,85500
"Mahoneys Auto Mall Inc",4,85500
"Hendrick Porsche",6,85400
"Northwest Fleet",4,85400
"Premier Members Fcu",10,85400
"Victory Auto",5,85300
"Orlando Car Connection",3,85100
"Binghamton Chrysler Jeep Dodge",3,85050
"Rosenthal Jaguar Landrover Of Tysons Corner",1,85000
"Crown Chrysler Jeep Inc",9,85000
"Flag/Ferman Bmw",4,85000
"Jeb Leasing Co",4,84900
"Primeritus Remarketing/Eurocar Imports",5,84850
"Atlanta Auto World",3,84700
"Weikert Ford Inc",4,84700
"Educational System Fcu",9,84650
"Al Packer Ford West",5,84600
"Acura Of Johnston",4,84600
"European Motor Sports Inc",1,84500
"Southwest Title Loans",27,84425
"Autonation Ford Burleson",7,84400
"Pronto Pre'stamos",24,84350
"J & B Auto & Truck Inc",15,84300
"A&c Wholesale",6,84200
"Deluxe Auto Sales Inc",4,84100
"Faulkner Buick Gmc",16,84000
"Executive Leasing",4,84000
"Volvo Of Brentwood",7,83900
"Great Lakes Chevrolet Inc",5,83800
"Quality Auto Wholesale Llc",6,83800
"Lexus Of Chandler",5,83750
"Rinos Auto Sales Inc",4,83700
"Sarge's Auto Sales Inc",2,83700
"Deer Valley Fleet & Leasing",6,83650
"Pit Stop Car Co",7,83600
"Autonation Volkswagen Mall Of Georgia",23,83600
"Anderson Chrysler Jeep Dodge",7,83350
"Ford Of Upland",8,83300
"Avis Rac/Pv Holding/San Francisco",6,83300
"Winner Subaru/Vw Of Dover",5,83250
"O'brien's Automotive Group",14,83100
"Acr Rental Services Inc",8,82900
"Boyd Honda Of South Hill",25,82700
"Titlemax/Windcrest Tx1",49,82650
"Ray Laethem Chrysler Dodge Jeep Ram",7,82650
"Jn Auto",5,82650
"San Antonio Fcu",5,82600
"Platinum Auto World",3,82600
"Lehman Buick Gmc Llc",4,82600
"Coventry Auto Sales",11,82450
"Remarketing By Ge/Film Vehicle Services",11,82400
"Park Place Ltd",4,82300
"Hiller Ford Inc",6,82200
"Ernst Toyota",4,82200
"Los Angeles Japanese Auto Corp",6,82200
"Brother Auto Group Inc",5,82150
"Gateway Subaru",28,82150
"Win Kelly Chev Buic Pont Gmc",5,82100
"Nissan Dealer Blend/Corona Nissan",6,82000
"Gainesville Buick Gmc",6,82000
"Clark Knapp Honda",3,82000
"Head Motor Company",3,82000
"Gene Latta Ford Inc",4,81950
"Remarketing By Ge/Astera Credit Union",12,81900
"Remktgedge/Cars/Auto One Acceptance",7,81900
"Hrft Finance And Leasing",7,81850
"Remarketing By Ge/Vic Canever Chevrolet Inc",5,81800
"Remarketing By Ge/Arkansas Federal Credit Union",9,81600
"Complete Auto Remarketing Specialists Inc",3,81600
"Low Book Sales",9,81600
"Mercedes-benz Of Nashville",7,81500
"Super Auto",9,81450
"Bergstrom Lexus",3,81400
"Jack Schmitt Cadillac Oldsmobile Inc",6,81400
"Warren Henry Infiniti Inc",4,81400
"Royal Auto Chicago Inc",3,81300
"Vci/Eich Motor Company",4,81200
"Cerini/Hertz Car Sales Of Columbia",6,81200
"National Remarketing Services",9,81200
"Autonation Chevrolet Gulf Freeway",10,81100
"Auction Access Auto Inc",5,81100
"Safford Kia Of Fredericksburg",9,81000
"Teatero Motor Products",1,81000
"Rogue Cu",5,80900
"Net Sales Auto",3,80900
"Teg Federal Credit Union",13,80900
"Land Rover Encino",2,80750
"Remarketing By Ge/Chandler Auto Sales",7,80750
"Park Ave Motor Corp",2,80700
"Nickel Corporation",9,80700
"Russell Barnett Kia",7,80700
"Ancira Chrysler Jeep Dodge",4,80600
"Car Solutions",6,80600
"Weslaco Ford L.l.p.",5,80500
"Don Whites Timonium Chrysler Jeep Dodge",11,80450
"Infiniti Of Charlotte",11,80400
"South Dade Toyota",17,80350
"Gretna Auto Outlet",5,80300
"Jenkins Acura",8,80300
"Axcess Financial",94,80275
"Frank Toyota",4,80250
