brand_model,transmission,brand_model_sales,avg_price
"Mazda RX-8",manual,47600,9520.00
"Honda CR-Z",manual,218500,9500.00
"Volkswagen Golf",automatic,1859150,9485.46
"Ford Escape Hybrid",automatic,1071290,9480.44
"Mazda Mazda3",automatic,18628864,9470.70
"Scion xD",automatic,1249700,9467.42
"Ford Focus",automatic,72950573,9455.68
"BMW M",manual,56650,9441.67
"Honda Fit",automatic,2993625,9325.93
"Chrysler 200",manual,9300,9300.00
"Honda Insight",automatic,1848600,9289.45
"Chevrolet Sonic",automatic,13489116,9277.25
"Lexus RX 330",automatic,3376300,9250.14
"Nissan Xterra",automatic,6745976,9203.24
"Ford Fiesta",automatic,15476875,9168.76
"Lincoln Blackwood",automatic,27500,9166.67
"Chevrolet Express Cargo",automatic,8451000,9165.94
"Chevrolet Cruze",manual,1569875,9127.18
"Mazda CX-7",automatic,2641950,9110.17
"Volkswagen GTI",manual,1389150,9079.41
"Dodge Avenger",automatic,32222371,9058.86
"Chevrolet Malibu",automatic,53079622,9028.68
"Chevrolet Colorado",automatic,6189675,9022.85
"Honda Civic",automatic,54387831,8992.70
"Kia Soul",manual,1960950,8954.11
"Nissan 350Z",manual,311600,8902.86
"Scion iQ",automatic,1030450,8883.19
"Scion tC",manual,1488400,8859.52
"Lexus LS 430",automatic,2940050,8855.57
"Chrysler Aspen",automatic,1648950,8817.91
"Nissan Sentra",automatic,31500606,8816.29
"Kia Rio",automatic,10338426,8813.66
"Volvo XC90",automatic,4785600,8813.26
"Dodge Nitro",automatic,4487200,8798.43
"Ford Fiesta",manual,1255700,8781.12
"Mazda 3",manual,26150,8716.67
"Scion xD",manual,191500,8704.55
"Saturn Sky",manual,138900,8681.25
"Chevrolet Silverado 1500 Classic",automatic,1340000,8645.16
"Jeep Patriot",manual,731850,8610.00
"Mercury Marauder",automatic,34200,8550.00
"Kia Borrego",automatic,589300,8540.58
"MINI Cooper",manual,4994300,8537.26
"GMC Sierra 1500HD",automatic,51200,8533.33
"Ram C/V Tradesman",automatic,221700,8526.92
"Ford Excursion",automatic,833250,8502.55
"FIAT 500",automatic,2521652,8490.41
"Mazda Mazda2",automatic,2467554,8479.57
"Lexus LX 470",automatic,364100,8467.44
"Mazda Mazda2",manual,270450,8451.56
"Suzuki Kizashi",automatic,235400,8407.14
"Jeep Liberty",automatic,16592208,8396.87
"Scion xB",automatic,2640850,8383.65
