brand_model,transmission,quantity_sold
"Pontiac Solstice",manual,40
"Dodge Ram Pickup 3500",manual,40
"BMW M6",automatic,40
"Oldsmobile Bravada",automatic,40
"Pontiac Solstice",automatic,40
"Chevrolet Tracker",automatic,40
"Toyota Prius Plug-in",automatic,39
"Mercury Monterey",automatic,39
"Hyundai Sonata",manual,39
"Chevrolet Malibu Classic",automatic,38
"Jeep Liberty",manual,38
"Toyota FJ Cruiser",manual,38
"Audi allroad",automatic,37
"Volvo V50",automatic,36
"Bentley Continental GT",automatic,36
"Infiniti Q45",automatic,36
"Chevrolet Silverado 1500HD",automatic,36
"Nissan Maxima",manual,36
"Ram C/V Cargo Van",automatic,36
"Land Rover Freelander",automatic,36
"Oldsmobile Aurora",automatic,36
"Chevrolet Astro",automatic,36
"Suzuki Reno",automatic,36
"Chevrolet Astro Cargo",automatic,36
"Infiniti G Sedan",manual,35
"Nissan 350Z",manual,35
"Kia Sportage",manual,35
"Mazda Mazdaspeed3",manual,35
"Saturn Astra",automatic,35
"Jaguar F-TYPE",automatic,34
"Oldsmobile Silhouette",automatic,34
"Audi S4",manual,34
"Volkswagen Beetle Convertible",automatic,34
"Nissan NV",automatic,33
"Mercedes-Benz C-Class",manual,33
"Porsche Cayman",manual,33
"Land Rover LR3",automatic,33
"Isuzu Ascender",automatic,33
"Chevrolet Spark",manual,33
"Volkswagen GLI",automatic,32
"Mazda Mazda2",manual,32
"Honda CR-V",manual,32
"Subaru Baja",automatic,32
"Chevrolet Colorado",manual,32
"Cadillac Escalade Hybrid",automatic,31
"Kia Sorento",manual,31
"Mitsubishi Lancer Sportback",automatic,31
"BMW Z4",manual,31
"Chevrolet Silverado 3500",automatic,31
"GMC Jimmy",automatic,31
"Infiniti FX45",automatic,30
"Toyota Celica",manual,30
"Infiniti Q60 Convertible",automatic,30
"Ram Dakota",automatic,30
"Dodge Neon",manual,30
"Toyota ECHO",automatic,30
"Nissan Murano CrossCabriolet",automatic,30
"Chevrolet S-10",manual,30
"Nissan Juke",manual,29
"Bentley Continental GTC",automatic,29
"Acura Integra",automatic,29
"Toyota Avalon Hybrid",automatic,29
"Lexus IS F",automatic,28
"Suzuki Kizashi",automatic,28
"Infiniti Q60 Coupe",automatic,28
"Chevrolet Black Diamond Avalanche",automatic,28
"Subaru BRZ",manual,28
"Acura TSX Sport Wagon",automatic,28
"Dodge Ram Pickup 2500",manual,28
"Acura ZDX",automatic,27
"Volkswagen Touareg 2",automatic,27
"BMW Z3",automatic,27
"Saturn Sky",automatic,27
"Honda Element",manual,27
"Chrysler Crossfire",automatic,27
"Acura TL",manual,27
"Pontiac G5",manual,26
"Bentley Continental Flying Spur",automatic,26
"Audi allroad quattro",automatic,26
"Mazda Protege5",automatic,26
"Porsche Cayman",automatic,26
"Kia Optima",manual,26
"Pontiac GTO",manual,26
"Ford F-150 Heritage",automatic,26
"BMW Z3",manual,26
"Honda Passport",automatic,26
"Ram C/V Tradesman",automatic,26
"Pontiac GTO",automatic,26
"Chevrolet Tahoe Hybrid",automatic,25
"Land Rover Discovery Series II",automatic,25
"Volkswagen Jetta GLI",automatic,25
"Audi S5",manual,25
"Mazda 6",automatic,25
"BMW X5 M",automatic,24
"Cadillac CTS-V",automatic,24
"Volvo C30",automatic,24
"Chevrolet SSR",automatic,24
"Volkswagen CC",manual,24
"Chevrolet Prizm",automatic,24
"Volkswagen Cabrio",automatic,24
"Hyundai Elantra GT",manual,24
